dataset,write_ratio,index_name,throughput_mops,latency_ns,time_ms,trial
wiki_ts,0.01,Dynamic PGM,3.90115,256.334,25.6334,4
wiki_ts,0.01,HOT,0.84746,1180,118,4
wiki_ts,0.01,ART,1.41236,708.034,70.8034,4
wiki_ts,0.02,HRT-LI,0.595737,1678.59,167.859,4
wiki_ts,0.02,HRT-LI v3,0.49283,2029.1,202.91,4
wiki_ts,0.02,ALEX,10.8893,91.8336,9.18336,4
wiki_ts,0.02,Dynamic PGM,3.92317,254.896,25.4896,4
wiki_ts,0.02,HOT,1.03262,968.413,96.8413,4
wiki_ts,0.02,ART,1.062,941.617,94.1617,4
wiki_ts,0.05,HRT-LI,0.473031,2114.03,211.403,4
wiki_ts,0.05,HRT-LI v3,0.4751,2104.82,210.482,4
wiki_ts,0.05,ALEX,9.69727,103.122,10.3122,4
wiki_ts,0.05,Dynamic PGM,3.56295,280.666,28.0666,4
wiki_ts,0.05,HOT,1.06123,942.306,94.2306,4
wiki_ts,0.05,ART,1.43142,698.609,69.8609,4
wiki_ts,0.1,HRT-LI,0.421489,2372.54,237.254,4
wiki_ts,0.1,HRT-LI v3,0.529836,1887.37,188.737,4
wiki_ts,0.1,ALEX,9.5244,104.993,10.4993,4
wiki_ts,0.1,Dynamic PGM,3.85726,259.252,25.9252,4
wiki_ts,0.1,HOT,1.08533,921.376,92.1376,4
wiki_ts,0.1,ART,1.49903,667.097,66.7097,4
wiki_ts,0.25,HRT-LI,0.258043,3875.32,387.532,4
wiki_ts,0.25,HRT-LI v3,0.525005,1904.74,190.474,4
wiki_ts,0.25,ALEX,9.01577,110.917,11.0917,4
wiki_ts,0.25,Dynamic PGM,3.2569,307.04,30.704,4
wiki_ts,0.25,HOT,1.21264,824.649,82.4649,4
wiki_ts,0.25,ART,1.60393,623.468,62.3468,4
wiki_ts,0.5,HRT-LI,0.194965,5129.14,512.914,4
wiki_ts,0.5,HRT-LI v3,0.498232,2007.1,200.71,4
wiki_ts,0.5,ALEX,7.60238,131.538,13.1538,4
wiki_ts,0.5,Dynamic PGM,4.44086,225.182,22.5182,4
wiki_ts,0.5,HOT,1.28163,780.254,78.0254,4
wiki_ts,0.5,ART,2.00841,497.906,49.7906,4
wiki_ts,0.75,HRT-LI,0.134605,7429.15,742.915,4
wiki_ts,0.75,HRT-LI v3,0.550194,1817.54,181.754,4
wiki_ts,0.75,ALEX,8.1207,123.142,12.3142,4
wiki_ts,0.75,Dynamic PGM,6.64393,150.513,15.0513,4
wiki_ts,0.75,HOT,2.0128,496.82,49.682,4
wiki_ts,0.75,ART,2.39033,418.353,41.8353,4
wiki_ts,1,HRT-LI,0.115102,8687.92,868.792,4
wiki_ts,1,HRT-LI v3,0.62109,1610.07,161.007,4
wiki_ts,1,ALEX,8.852,112.969,11.2969,4
wiki_ts,1,Dynamic PGM,12.47,80.1925,8.01925,4
wiki_ts,1,HOT,3.54474,282.108,28.2108,4
wiki_ts,1,ART,5.60071,178.549,17.8549,4
osm_cellids,0,HRT-LI,0.741213,1349.14,134.914,4
osm_cellids,0,HRT-LI v3,0.521114,1918.96,191.896,4
osm_cellids,0,ALEX,9.69287,103.169,10.3169,4
osm_cellids,0,Dynamic PGM,6.54452,152.8,15.28,4
osm_cellids,0,HOT,1.14667,872.09,87.209,4
osm_cellids,0,ART,1.44273,693.13,69.313,4
osm_cellids,0.01,HRT-LI,0.953009,1049.31,104.931,4
osm_cellids,0.01,HRT-LI v3,0.502798,1988.87,198.887,4
osm_cellids,0.01,ALEX,9.66871,103.426,10.3426,4
osm_cellids,0.01,Dynamic PGM,3.8884,257.175,25.7175,4
